	herb_id	herb_name	herb_type	target	Resource
0	HBIN041751	quinic acid	Aliphatic acid	CA2	Lianqiao
1	HBIN041751	quinic acid	Aliphatic acid	PTGS2	Lianqiao
2	HBIN041751	quinic acid	Aliphatic acid	GRIA2	Lianqiao
3	HBIN041751	quinic acid	Aliphatic acid	ACHE	Lianqiao
4	HBIN041751	quinic acid	Aliphatic acid	DPP4	Lianqiao
5	HBIN022650	danshensu	Phenolic acid ester	ADRA2C	Danshen
6	HBIN022650	danshensu	Phenolic acid ester	COL3A1	Danshen
7	HBIN022650	danshensu	Phenolic acid ester	ADRB1	Danshen
8	HBIN022650	danshensu	Phenolic acid ester	TIMP1	Danshen
9	HBIN022650	danshensu	Phenolic acid ester	PTGS1	Danshen
10	HBIN022650	danshensu	Phenolic acid ester	TGFB1	Danshen
11	HBIN022650	danshensu	Phenolic acid ester	ADRB2	Danshen
12	HBIN022650	danshensu	Phenolic acid ester	DPEP1	Danshen
13	HBIN022650	danshensu	Phenolic acid ester	ADRA1D	Danshen
14	HBIN022650	danshensu	Phenolic acid ester	NF1	Danshen
15	HBIN022650	danshensu	Phenolic acid ester	COL1A1	Danshen
16	HBIN022650	danshensu	Phenolic acid ester	ACTB	Danshen
17	HBIN022650	danshensu	Phenolic acid ester	PLAU	Danshen
18	HBIN022650	danshensu	Phenolic acid ester	NOS2	Danshen
19	HBIN022650	danshensu	Phenolic acid ester	CDK2	Danshen
20	HBIN022650	danshensu	Phenolic acid ester	RELA	Danshen
21	HBIN022650	danshensu	Phenolic acid ester	ADRA2A	Danshen
22	HBIN022650	danshensu	Phenolic acid ester	CA2	Danshen
23	HBIN022650	danshensu	Phenolic acid ester	LTA4H	Danshen
24	HBIN022650	danshensu	Phenolic acid ester	CTRB1	Danshen
25	HBIN022650	danshensu	Phenolic acid ester	NPPA	Danshen
26	HBIN022650	danshensu	Phenolic acid ester	PRSS1	Danshen
27	HBIN022650	danshensu	Phenolic acid ester	ACHE	Danshen
28	HBIN022650	danshensu	Phenolic acid ester	ADRA2B	Danshen
29	HBIN022650	danshensu	Phenolic acid ester	SOD1	Danshen
30	HBIN022650	danshensu	Phenolic acid ester	HMOX1	Danshen
31	HBIN022650	danshensu	Phenolic acid ester	MAOB	Danshen
32	HBIN022650	danshensu	Phenolic acid ester	PTGS2	Danshen
33	HBIN022650	danshensu	Phenolic acid ester	DPP4	Danshen
34	HBIN044342	sophocarpine	Alkaloid	AKT1	Mixed
35	HBIN044342	sophocarpine	Alkaloid	CTNNB1	Mixed
36	HBIN044342	sophocarpine	Alkaloid	IL6	Mixed
37	HBIN044342	sophocarpine	Alkaloid	ITK	Mixed
38	HBIN044342	sophocarpine	Alkaloid	GSK3B	Mixed
39	HBIN044342	sophocarpine	Alkaloid	TGFB1	Mixed
40	HBIN044342	sophocarpine	Alkaloid	TNF	Mixed
